Ticket ID,HS Customer,Subject,Source,Type,Weight,Created time,Initial response time,Resolved time,First response time (in hrs),Resolution time (in hrs),Agent interactions,Customer interactions
143,18,Re: Hauling Software - Circle 9/ Bison Oilfield - 142,Email,Software Problem / Issue,2,2/20/2019 6:53,2/20/2019 6:50,2/20/2019 7:13,0:00:00,0:00:00,0,1
145,18,RE: ticket graph,Email,Software Problem / Issue,2,2/20/2019 8:05,2/20/2019 7:49,2/20/2019 8:13,0:00:00,0:00:00,2,1
146,10,QB Web Connector - Authentication Error,Portal,Software Problem / Issue,2,2/20/2019 9:01,2/20/2019 9:03,3/4/2019 9:22,0:00:00,64:22:54,2,3
147,10,[Automated Ticket Entry] > [View Completed Jobs] non-functioning,Portal,Software Problem / Issue,2,2/20/2019 9:10,2/20/2019 9:19,2/22/2019 7:36,0:00:00,9:00:00,1,1
148,16,Quickbook Error,Portal,General Question,4,2/20/2019 10:11,2/20/2019 10:15,2/22/2019 7:24,0:00:00,9:00:00,2,2
149,18,Inventory Rental MTs,Portal,Software Problem / Issue,2,2/20/2019 10:29,2/27/2019 15:04,2/27/2019 15:05,43:04:53,43:05:18,1,1
151,19,Invoices,Portal,Software Problem / Issue,3,2/20/2019 14:10,2/22/2019 7:51,2/22/2019 7:53,9:00:00,9:00:00,1,1
152,16,error uploading docs,Portal,Data Entry Support,3,2/20/2019 14:35,2/20/2019 14:47,2/22/2019 7:54,0:00:00,9:00:00,2,2
153,18,Hauling Software,Email,Software Problem / Issue,3,2/21/2019 8:55,2/21/2019 9:09,2/27/2019 15:05,0:13:23,42:09:46,2,1
154,18,Cannot Create Master Tickets,Portal,Software Problem / Issue,3,2/21/2019 8:58,,2/21/2019 9:11,0:00:00,0:13:18,0,1
156,18,TICKET ENTRY - EDIT,Portal,Software Problem / Issue,4,2/21/2019 9:57,2/21/2019 10:09,2/21/2019 10:09,0:11:33,0:11:37,1,1
157,18,Cannot change the bill type. ,Portal,Data Entry Support,3,2/21/2019 10:52,,2/21/2019 12:53,0:00:00,2:00:45,0,1
158,18,TICKET ENTRY,Portal,Software Problem / Issue,3,2/21/2019 11:22,2/21/2019 12:55,2/21/2019 12:56,1:33:23,1:33:36,1,1
159,10,QB Web Connector - Western OK - Customer = Derby,Portal,Software Problem / Issue,4,2/21/2019 16:11,2/21/2019 16:49,2/21/2019 16:49,0:38:20,0:38:22,1,2
160,10,Flowback Category to Inactive,Portal,General Question,3,2/22/2019 11:09,,2/22/2019 17:17,0:00:00,5:50:19,0,1
161,28,Factoring tickets for Quickbooks,Portal,Software Problem / Issue,4,2/22/2019 15:45,,2/22/2019 17:20,0:00:00,1:15:00,0,1
162,21,Hauling Software Issue,Portal,Software Problem / Issue,4,2/25/2019 9:24,2/25/2019 9:45,2/25/2019 13:36,0:20:57,4:12:07,2,1
163,10,Skip Ticket > Email Notification Not Functioning,Portal,Software Problem / Issue,2,2/25/2019 10:57,,2/26/2019 7:40,0:00:00,6:02:02,0,1
164,28,Ticket lookup,Portal,Software Problem / Issue,4,2/25/2019 11:21,2/25/2019 12:23,2/25/2019 13:36,1:02:41,2:14:43,1,2
166,15,admin approval,Portal,Data Entry Support,3,2/25/2019 13:35,2/25/2019 14:46,3/4/2019 9:22,1:10:29,40:47:05,1,1
167,34,PDF Offset,Portal,Software Problem / Issue,3,2/25/2019 14:49,2/25/2019 15:06,2/27/2019 15:05,0:16:47,18:16:16,3,1
168,18,Tickets 17270 & 22417,Portal,Software Problem / Issue,5,2/26/2019 8:38,,2/26/2019 16:32,0:00:00,7:54:33,0,1
169,5,Loading issue,Portal,Software Problem / Issue,2,2/26/2019 10:38,,2/26/2019 13:29,0:00:00,2:50:16,0,1
172,26,deleting an entry under a job,Portal,Data Entry Support,3,3/1/2019 21:29,3/4/2019 7:46,3/4/2019 8:09,0:00:00,0:09:43,1,2
175,10,Admin Approve - Show Tix Glitch in Chrome,Portal,Software Problem / Issue,1,3/5/2019 16:03,3/5/2019 16:09,3/5/2019 16:10,0:06:40,0:06:45,1,2
176,18,Re: Hauling - Question,Email,General Question,4,3/11/2019 11:52,3/11/2019 12:27,6/5/2019 7:47,0:35:30,545:07:48,3,1
178,5,Date Range Report,Portal,Feature Request,2,3/11/2019 15:38,3/11/2019 15:52,5/15/2019 11:15,0:13:55,418:36:37,1,1
181,24,JOB # 2584 ASCENT RUTH PAD,Portal,Data Entry Support,3,3/13/2019 7:35,3/13/2019 7:47,3/14/2019 7:49,0:00:00,9:00:00,1,1
182,15,ticket entry,Portal,Data Entry Support,2,3/13/2019 12:33,,3/13/2019 12:44,0:00:00,0:10:42,0,1
183,18,DATA ENTRY - TIME CHANGE,Portal,Software Problem / Issue,2,3/13/2019 16:35,,3/14/2019 7:49,0:00:00,0:24:35,0,1
184,15,edit ticket,Portal,Data Entry Support,4,3/14/2019 11:15,3/14/2019 14:34,3/15/2019 11:02,3:19:40,8:46:59,3,2
186,21,File error,Portal,Software Problem / Issue,2,3/18/2019 8:50,3/18/2019 9:04,3/21/2019 16:30,0:13:42,34:39:27,2,1
187,15,data entry-invoice,Portal,Data Entry Support,3,3/18/2019 12:07,3/18/2019 12:49,4/5/2019 13:56,0:41:42,127:49:31,3,2
188,28,Ticket?,Portal,Data Entry Support,3,3/19/2019 11:01,3/19/2019 11:08,3/19/2019 12:05,0:06:51,1:03:09,1,1
191,18,Re: Date Range Report (Hauling Software),Email,,2,3/22/2019 12:19,,3/22/2019 12:30,0:00:00,0:11:02,0,3
194,18,HAULING SOFTWARE JUST SPINNING - WON'T LOAD,Portal,Software Problem / Issue,1,3/25/2019 8:34,,3/25/2019 9:22,0:00:00,0:48:36,0,1
196,18,SLOW ,Portal,Software Problem / Issue,2,3/26/2019 7:39,3/26/2019 7:47,3/27/2019 7:27,0:00:00,9:00:00,1,1
198,26,Need something deleted,Portal,Data Entry Support,2,3/27/2019 15:22,3/27/2019 15:30,3/27/2019 15:39,0:07:54,0:16:42,1,2
199,26,DATE CHANGE ON CLOSED ITEM,Portal,Data Entry Support,2,3/31/2019 20:13,3/31/2019 20:22,4/1/2019 13:04,0:00:00,5:04:11,2,2
200,26,closed item at wrong date,Portal,Data Entry Support,2,4/1/2019 12:17,4/1/2019 12:29,4/1/2019 12:53,0:11:49,0:36:09,1,1
203,19,TICKETS,Portal,General Question,2,4/4/2019 7:32,4/4/2019 7:39,4/4/2019 9:11,0:00:00,1:11:26,1,1
205,5,add filter feature,Portal,Feature Request,5,4/8/2019 15:00,4/8/2019 15:16,4/9/2019 15:55,0:15:28,9:55:19,2,1
206,39,First Invoice,Portal,General Question,1,4/8/2019 16:47,4/9/2019 7:11,4/9/2019 9:20,0:12:38,1:33:16,1,2
208,5,Dropbox Scans Share,Email,General Question,2,4/9/2019 12:08,4/9/2019 13:07,4/9/2019 13:08,0:58:28,0:59:20,1,1
209,25,New Feature requests and concerns,Portal,Feature Request,3,4/9/2019 17:21,4/10/2019 8:48,5/23/2019 9:36,0:48:17,280:36:22,1,1
211,25,CALCULATION SPREADSHEET,Portal,Software Problem / Issue,2,4/11/2019 7:48,4/11/2019 11:34,4/11/2019 11:35,3:34:49,3:35:01,1,1
212,18,Missing revenue button from the revenue report,Portal,Software Problem / Issue,3,4/11/2019 13:48,4/11/2019 14:04,4/12/2019 7:29,0:16:48,3:11:49,1,1
217,18,FW: [External] HS - Email CSV Date Range 04/01/2019-04/12/2019,Email,Software Problem / Issue,2,4/12/2019 9:41,4/12/2019 9:43,4/13/2019 7:32,0:01:39,7:18:25,2,1
219,24,ADDING ITEM CATEGORY ,Portal,Data Entry Support,4,4/14/2019 11:16,4/14/2019 11:19,4/14/2019 11:19,0:00:00,0:00:00,1,1
220,18,Hauling Software,Email,Feature Request,4,4/15/2019 9:04,4/15/2019 16:52,4/18/2019 15:30,7:47:25,33:26:22,3,3
222,19,Re: Reports,Email,General Question,3,4/15/2019 11:32,4/15/2019 11:45,4/15/2019 15:39,0:13:26,4:07:19,1,1
225,37,Fwd: Invoice Description,Email,Software Problem / Issue,3,4/16/2019 11:46,4/16/2019 11:52,4/16/2019 12:00,0:06:49,0:14:26,1,1
276,26,reopen a closed item please,Portal,Data Entry Support,2,4/17/2019 12:43,4/17/2019 12:55,4/17/2019 14:23,0:11:21,1:39:46,2,4
286,26,JOB NUMBER 3594,Portal,Data Entry Support,2,4/18/2019 9:58,4/18/2019 10:01,4/18/2019 14:00,0:03:04,4:01:34,1,1
287,19,Supplemental Reconcile,Portal,Feature Request,4,4/18/2019 10:58,4/18/2019 13:17,4/18/2019 15:28,2:18:19,4:29:39,1,1
318,25,"Suggestions, Needs, and Questions Hauling Software",Email,General Question,2,4/22/2019 11:58,4/22/2019 12:03,5/23/2019 9:36,0:04:28,204:37:27,1,1
323,26,reopen a closed item please,Portal,Data Entry Support,2,4/24/2019 7:22,4/24/2019 7:36,4/25/2019 15:52,0:00:00,16:52:59,1,1
325,28,Fwd: Momentum Question,Email,General Question,1,4/24/2019 10:50,4/24/2019 17:06,4/26/2019 15:28,6:09:19,22:37:48,2,3
327,18,Hauling Software,Email,Software Problem / Issue,1,4/25/2019 8:29,,4/25/2019 10:16,0:00:00,1:46:34,0,1
328,18,FW: Hauling Software,Email,Software Problem / Issue,1,4/25/2019 9:53,4/25/2019 10:02,4/25/2019 10:16,0:08:33,0:22:19,1,1
329,18,Re: - - 328,Email,Software Problem / Issue,1,4/25/2019 10:02,4/25/2019 10:14,4/25/2019 10:16,0:12:19,0:13:38,1,1
330,18,Hauling Software,Email,Software Problem / Issue,1,4/25/2019 10:05,,4/25/2019 10:15,0:00:00,0:09:57,0,1
332,18,Re: Hauling Software,Email,Software Problem / Issue,1,4/25/2019 10:16,,4/25/2019 10:16,0:00:00,0:00:37,0,1
334,24,Re: HS,Email,Software Problem / Issue,4,4/26/2019 7:48,4/26/2019 12:34,5/6/2019 10:20,4:34:27,56:20:47,1,6
335,18,Master Ticket Status Report,Portal,General Question,3,4/26/2019 9:13,4/26/2019 9:32,5/1/2019 10:23,0:18:49,28:09:52,1,1
339,21,[Auto-Reply] Ticket Received - Quickbooks connecting to Hauling Software,Email,,4,4/27/2019 10:10,,4/27/2019 10:49,0:00:00,0:00:00,0,1
343,41,CONTACT LIST FOR ONBOARDING,Email,Positive Feedback,2,5/1/2019 13:01,,5/2/2019 14:20,0:00:00,10:19:54,0,1
351,18,Re: Fw: Missing Ticket,Email,General Question,5,5/7/2019 9:43,,5/7/2019 14:04,0:00:00,4:21:15,0,3
354,5,Dropbox Scans Share,Email,General Question,2,5/8/2019 14:05,5/8/2019 16:18,5/9/2019 11:43,2:13:05,6:37:49,1,1
358,37,Dispatch Link,Email,General Question,1,5/9/2019 12:31,5/9/2019 12:39,5/9/2019 13:18,0:07:54,0:46:27,2,2
359,37,Question,Email,General Question,1,5/9/2019 14:09,,5/10/2019 15:09,0:00:00,9:59:57,0,1
360,37,TRUCKS,Email,General Question,1,5/9/2019 14:33,,5/9/2019 14:50,0:00:00,0:16:55,0,1
369,24,Re: HS,Email,Software Problem / Issue,3,5/13/2019 16:24,5/15/2019 7:49,5/15/2019 11:13,9:35:30,12:49:23,1,1
370,21,Re: Special Report,Email,Feature Request,3,5/13/2019 21:53,,5/15/2019 11:11,0:00:00,12:11:49,0,13
378,18,Re: DSS Need,Email,,4,5/16/2019 11:36,,5/16/2019 12:28,0:00:00,0:51:33,0,1
425,25,Hs dispatch,Email,Software Problem / Issue,4,5/17/2019 10:29,5/17/2019 11:22,5/20/2019 7:46,0:53:33,6:30:48,1,3
430,37,Platinum Oilfield Services Billing Questions,Email,General Question,2,5/21/2019 10:08,5/21/2019 11:02,5/23/2019 9:34,0:54:12,17:25:59,1,3
431,28,Update Web Services - Quickbooks,Portal,Data Entry Support,3,5/22/2019 15:09,,5/23/2019 8:30,0:00:00,2:21:47,0,1
438,18,Additional Field Request,Phone,Feature Request,4,5/28/2019 11:29,5/30/2019 8:23,5/30/2019 8:24,9:23:59,9:24:04,1,1
440,37,Re: Kendra,Email,Data Entry Support,2,5/30/2019 12:03,5/30/2019 13:10,6/13/2019 10:42,1:07:28,88:39:51,1,1
442,16,Issue With the Disposal Price Field blanking out,Phone,Software Problem / Issue,4,5/30/2019 15:37,,6/17/2019 11:09,0:00:00,103:31:46,0,1
444,18,MT285116,Portal,Software Problem / Issue,4,5/31/2019 11:57,,6/3/2019 16:38,0:00:00,13:41:07,0,1
446,20,Re: Hauling Software,Email,Feature Request,5,6/1/2019 10:25,6/1/2019 11:37,6/3/2019 14:58,0:00:00,6:58:38,1,2
448,37,Ticket Entry,Portal,Data Entry Support,2,6/2/2019 22:00,6/3/2019 6:13,6/3/2019 14:58,0:00:00,6:58:09,1,2
449,19,Re: URGENT - Issues with new tickets,Email,Software Problem / Issue,5,6/3/2019 11:42,6/4/2019 9:15,6/13/2019 10:15,6:32:43,70:33:32,1,4
450,37,Error Message,Email,General Question,3,6/3/2019 11:55,,6/3/2019 14:57,0:00:00,3:01:45,0,1
452,18,Rig & county,Portal,Software Problem / Issue,5,6/3/2019 16:02,6/3/2019 16:38,6/11/2019 10:27,0:35:29,48:24:46,10,10
455,15,field for data entry,Portal,Data Entry Support,3,6/5/2019 11:31,6/11/2019 8:15,6/27/2019 16:24,32:44:00,148:53:40,3,4
456,5,slow,Portal,Software Problem / Issue,2,6/5/2019 14:13,6/5/2019 14:21,6/5/2019 14:37,0:07:49,0:24:32,1,2
457,34,Dropbox,Portal,Software Problem / Issue,4,6/6/2019 9:20,6/6/2019 10:04,6/10/2019 16:54,0:43:38,25:33:53,2,2
459,41,Re: Report Request,Email,Feature Request,5,6/6/2019 20:16,6/10/2019 11:01,6/13/2019 10:42,12:01:24,38:42:39,1,3
496,41,RE: VINE LEASES,Email,General Question,4,6/7/2019 9:36,,6/7/2019 10:33,0:00:00,0:56:38,0,1
502,41,TICKET VOIDING,Portal,General Question,1,6/7/2019 10:26,6/7/2019 10:35,6/10/2019 16:51,0:09:17,15:25:33,2,3
764,41,DATE RANGE REPORT,Portal,Software Problem / Issue,4,6/10/2019 9:25,6/10/2019 9:34,6/13/2019 9:37,0:08:46,27:11:36,4,4
766,20,Re: Hauling software,Email,Software Problem / Issue,3,6/11/2019 12:10,6/11/2019 12:53,6/12/2019 8:45,0:43:31,5:34:46,2,3
768,18,Re: ETICKET CORRECTIONS,Email,Software Problem / Issue,3,6/11/2019 23:26,6/12/2019 8:20,6/12/2019 8:44,0:20:45,0:44:45,1,2
770,41,Turn off ticket entry review,Phone,Data Entry Support,2,6/12/2019 17:14,,6/12/2019 17:14,0:00:00,0:00:00,0,1
771,19,FW: Lagoon Disposal Invoices,Email,General Question,3,6/13/2019 16:03,,6/14/2019 10:37,0:00:00,3:34:22,0,1
773,18,Rig info is still missing from master ticket,Portal,Software Problem / Issue,4,6/14/2019 10:53,6/14/2019 11:15,6/14/2019 12:11,0:21:45,1:18:01,2,2
774,18,Rig Info Does Not Show On Master Ticket,Portal,Software Problem / Issue,4,6/16/2019 9:35,6/17/2019 9:13,6/27/2019 16:24,1:13:13,80:24:44,3,1
777,37,Error Importing into QB,Email,Software Problem / Issue,3,6/19/2019 15:20,,6/19/2019 15:53,0:00:00,0:33:08,0,1
778,40,Add Job to Schedule Disappears,Portal,Software Problem / Issue,4,6/20/2019 9:20,6/20/2019 9:47,6/27/2019 16:24,0:26:58,52:04:24,2,2
779,18,HS Lease Admin,Email,Software Problem / Issue,2,6/20/2019 10:50,6/20/2019 16:36,6/27/2019 16:24,5:46:06,50:33:40,1,1
780,18,FW: HS Lease Admin,Email,Software Problem / Issue,2,6/21/2019 9:16,6/21/2019 9:24,6/27/2019 16:24,0:08:21,43:07:49,1,1
781,20,Hauling Software Ticket Disappearing Question,Email,General Question,3,6/21/2019 11:01,6/21/2019 11:20,6/24/2019 16:36,0:19:02,14:34:43,3,3
782,28,Trouble with dispatched loads,Portal,Software Problem / Issue,3,6/21/2019 16:19,6/21/2019 18:57,7/22/2019 13:47,0:40:33,177:28:01,4,2
