id,hs_customer,name,standard_price,bill_type,status
344,19,Winch Truck,0,2,active
345,19,Jetting Tanks,0,2,active
346,19,Plate & Clean,0,2,active
347,16,HOT SHOT,0,1,active
348,16,HAULED METHANOL,115,2,active
349,16,BOBTAIL,115,2,active
350,18,SUCKED OUT CELLAR AND HAUL TO DISPOSAL,105,2,inactive
351,18,SUCKED UP CELLAR MESS,0,2,inactive
352,18,RINSED OFF TANK,0,2,inactive
353,18,TRANSFERRED FRAC TANK ON LOCATION,0,2,inactive
354,18,HAULED SALT WATER,0,1,inactive
355,18,SHIFT CHANGE,0,1,inactive
356,18,TRAVEL TIME,0,1,inactive
357,16,SET ABO TANK,115,2,active
358,16,HAULED SUPER LUBE,115,2,active
359,18,TRANSFERRED OIL ON LOCATION,105,2,inactive
360,18,TRANSFERRED OBM FROM OLD TO NEW LOCATION,105,2,inactive
361,18,TRANSFERRED FRAC TANK FROM OLD TO NEW LOCATION,115,2,inactive
362,18,Trucking - Transfer Fresh Water,0,2,active
363,18,TRANSFERRED WBM FROM OLD TO NEW LOCATION,105,2,inactive
364,18,TRANSFERRED PIT WATER TO DISPOSAL,105,2,inactive
365,18,Trucking - Haul Formation Sand,0,2,active
369,15,Haul out of Wash Bay,0,2,active
370,16,SET FRAC TANK,115,2,active
371,18,NON-BILLABLE TICKET,0,2,inactive
372,18,HAULED RAIN WATER TO DISPOSAL,105,2,inactive
373,18,Soil Farming - Hourly Work,0,2,active
374,16,LOAD/UNLOAD CASING,0,1,active
375,18,Transfer Rate - Chapman Pipeline,1.6,1,active
376,18,PRE-LOADED CONTAMINATED WATER FOR RELIEF DRIVER,0,2,inactive
377,18,TRANSFERRED PIT WATER ON LOCATION,0,2,inactive
378,16,DOZER,125,2,active
379,16,BLADE,125,1,active
380,16,HAULED ROCK,0,1,active
381,16,PICKUP ABO TANK,0,1,active
385,16,DEVON-PATTERSON 574,0,1,inactive
386,19,Rock Hauling,0,2,inactive
387,19,Rock Hauling,10,1,active
388,18,TRANSFERRED (PR/CM/FB/SW) ON LOCATION,105,2,inactive
390,18,HAULED AMMONIA WATER TO DISPOSAL,110,2,inactive
391,18,TURNPIKE FEE,25,2,inactive
392,18,Transfer Rate - HR Potter Pipeline,0,1,active
393,18,TURNPIKE FEE,25,2,inactive
394,18,HAULED SAND TO LOCATION,105,2,inactive
395,18,HAULED PEA GRAVEL,0,2,inactive
396,18,Transfer Rate - Roser/Roser Pipeline,1.5,1,active
397,19,Frac Tank Rental,25,2,active
398,18,TRANSFER OIL ON LOCATION,105,2,inactive
399,18,Transfer Rate - Calf Rope Pipeline,0.77,1,active
400,18,Transfer Rate - Burton Pipeline,0.75,1,active
450,18,Transfer Rate - Ellis Pipeline,0.55,1,active
451,18,SET MIXER ON STAGING AREA,105,2,inactive
452,18,SUCK OUT MANIFOLDS,105,2,inactive
453,18,HAULED PIPELINE WATER TO DISPOSAL,105,2,inactive
454,18,RELIEF DRIVER,105,2,inactive
455,18,Trucking - Haul Rig,0,2,active
456,18,HAULED SOLIDS TO DISPOSAL,105,2,inactive
457,18,TRANSPORTED FRESH WATER TO DISPOSAL,105,2,inactive
458,18,Fresh Water Hauling,95,2,active
459,18,SWAMPER,55,2,inactive
460,16,TRANSFERRED FLOWBACK,115,2,active
461,20,Pull Bottoms,0,2,active
462,20,Transfer frac tanks,0,2,active
463,16,DIRT WORK,0,1,active
464,18,HAULED SCREENINGS,105,2,inactive
465,23,Pull Bottoms,105,2,active
466,23,Set Frac Tank,105,2,active
467,23,Pickup Frac Tank,105,2,active
468,23,Skim s/w tank,105,2,active
469,23,T/P,105,2,active
470,23,T/P,105,2,active
471,23,P/T,110,2,active
472,5,Wash Out - Vacuum Trailer,0,2,active
473,5,Rinse Out - Frac Tank,0,2,inactive
474,5,Infield Water Hauling,0,1,active
475,5,Service Work,0,2,active
476,5,LATX Disposal,0,2,active
477,5,3rd Party Disposal,0,2,active
478,5,Flowback Hauling & Disposal,0,2,active
479,5,Pitwater Hauling & Disposal,0,2,active
480,5,Frac-Water Hauling & Disposal,0,2,active
481,5,Equipment Rentals,0,1,active
482,23,fb,1.6,1,active
483,18,TRANSFERRED WATER ON LOCATION,105,2,inactive
484,23,T/P Empty Tanks,105,2,active
485,23,B/T,105,2,active
486,23,H/O,120,2,active
487,23,washer,100,2,active
488,5,Service Work,0,2,active
489,5,Customer Location Issue,0,2,active
490,18,MATERIAL DELIVERY,105,2,inactive
491,18,SUCKED UP WATER ON LOCATION,105,2,inactive
492,16,LABOR,0,2,active
493,16,WINCH TRUCK,115,2,active
494,16,WINCH TRUCK,115,2,active
497,18,TRANSFERRED OBM CONTAMINATED FLUIDS TO DISPOSAL,105,2,inactive
498,18,TRANSFERRED (PR/CM/FB/SW) FROM OLD LOCATION TO NEW LOCATION,105,2,inactive
499,16,CLEANED OUT HALF PIT,115,2,active
500,16,TRANSFER OIL,0,2,active
503,24,Pickup,110,2,active
504,24,Delivery,110,2,active
505,18,Trucking - Transfer Tank Bottoms,0,2,active
506,16,JET FLOWBACK PIT,0,1,active
507,18,VAC TRUCK,95,2,active
510,16,Hauled Brine,115,2,active
511,23,Help,0,2,active
512,23,Welder,65,2,active
514,16,CLEANED OUT FRAC TANK,115,2,active
515,18,HAULED FLOWBACK,95,2,inactive
517,18,HAULED ROCK FROM DOLESE,9.12,1,inactive
518,18,TRANSFERRED FRESH WATER FROM NEW TO OLD LOCATION,105,2,inactive
519,18,WATERED PAD FOR LOCATION,100,2,inactive
520,23,Dump Truck,80,2,active
522,18,TRANSFERRED OBM FROM RIG TO RIG,95,2,inactive
523,18,Trucking - Haul Skim Oil,0,2,active
524,18,SPREAD WATER ON LOCATION,95,2,inactive
525,18,HAULED FRESHWATER,0,2,inactive
526,18,TRANSFERRED SAND WATER TO DISPOSAL,105,2,inactive
527,16,DEWATER PIPELINE,0,2,active
528,18,SUCK OUT FLOW LINE AND BLOW INTO PRESS,95,2,inactive
530,18,Trucking - Haul Rainwater,0,2,active
538,19,Pull Bottoms,0,2,active
539,19,Tank Cleanout,400,2,active
540,18,PUMP TRUCK,135,2,inactive
541,18,Soil Farming - Backhoe Work,0,2,active
546,18,HAULED ROCK FROM DOLESE,9.12,1,inactive
547,18,TRANFERRED WBM FROM RIG TO DISPOSAL,105,2,inactive
548,18,TRANSFERRED WBM FROM RIG TO DISPOSAL,105,2,inactive
549,18,PULLED FRAC SAND,105,2,inactive
553,19,Set Frac Tank,250,2,active
554,16,Emptied cellar,115,2,active
555,18,TRANSFERRED WATER FROM FRAC TANK TO FRAC TANK ON LOCATION,105,2,inactive
556,18,MOVE FRAC SAND ON LOCATION,105,2,inactive
557,18,Liquid Hauling: 91-100 Miles,600,1,active
560,18,JETTED PITS,95,2,inactive
561,18,Trucking - Equipment Maintenance,55,2,active
563,18,HAULED SLOP TO DISPOSAL,105,2,inactive
564,19,Travis Peak,0,2,inactive
567,23,Super Heater,350,2,inactive
568,23,Super Heater,300,2,active
569,16,FORKLIFT,120,2,active
573,18,HAULED(PR/CM/FB/FW) TO RIG FROM DISPOSAL,0,2,inactive
574,18,NON-BILLABLE TICKET,0,2,inactive
575,18,SERVICE CALL,0,2,inactive
577,18,Soil Farming - Spread Oil Based Cuttings from Berm,0,1,inactive
578,18,Solids Hauling: 81-90 Miles,550,1,active
579,18,Produced Water Hauling - Route 404,1.1,1,active
580,18,TRANSPORTED (PR/CM/FB/SW) TO RIG,0,2,inactive
581,16,EMPTIED SAND TRAP,115,2,active
582,18,SUCK OUT FLOW BACK TANK AND HAULED TO DISPOSAL,0,2,inactive
583,18,Produced Water Hauling - Route 406,1.2,1,active
584,18,Liquid Hauling: 71-80 Miles,500,1,active
585,18,Produced Water Hauling,0,1,active
586,18,TRANSPORTED DRILL OUT FLUIDS TO DISPOSAL,105,2,inactive
587,19,Service Work,0,2,inactive
588,18,HAULED OBM FROM TEST FACILITY TO MUD PLANT,105,2,inactive
589,18,Liquid Hauling: 21-30 Miles,300,1,active
593,18,HAULED WBM TO MUD PLANT,0,2,inactive
594,16,WATER SALES,0,1,active
595,18,Trucking - Haul Salt Water,0,2,active
596,18,Soil Farming - Spread Water Based Mud,0,1,active
597,18,Pulling Unit - Completion,0,2,active
598,18,SEPARATED OIL AND WATER FROM TANKS,105,2,inactive
599,18,TRANSFERRED WATER AND OIL ON LOCATION,105,2,inactive
600,18,Soil Farming - Turnkey Job,0,1,active
601,5,SHOP - Misc.,0,2,inactive
602,5,SHOP - A.C.,0,2,inactive
603,5,SHOP - Chassis,0,2,inactive
604,5,SHOP - Drive Line,0,2,inactive
605,5,SHOP - Engine,0,2,inactive
606,5,SHOP - DEF System,0,2,inactive
607,5,SHOP - Accessories,0,2,inactive
608,5,SHOP - Transmission,0,2,inactive
609,5,SHOP - Fuel System,0,2,inactive
610,5,SHOP - Brakes,0,2,inactive
611,5,SHOP - Vacuum System,0,2,inactive
612,5,SHOP - Electrical,0,2,inactive
613,5,SHOP - Air System,0,2,inactive
614,5,SHOP - Tires,0,2,inactive
615,5,SHOP - Cooling System,0,2,inactive
616,5,SHOP - Suspension,0,2,inactive
617,5,SHOP - P.M.,0,2,inactive
618,16,TRANSFER WATER,0,1,active
619,16,TRANSFER MUD,0,1,active
620,18,RETURN INCORRECT OBM TO HALLIBURTON POCASSET,105,2,inactive
621,16,TRANSFER FLUID,0,1,active
623,23,Backhoe,0,2,active
624,18,Non-Billable: Woodward,0,0,inactive
625,19,Oil Transfer,0,2,active
626,18,SOILFARM BID,0,2,inactive
627,18,HAULED SALT WATER TO DISPOSAL,0,1,inactive
628,18,Non-Billable: Training,0,2,active
629,18,SUCKED OUT FRAC TANKS,0,2,inactive
630,18,YARD MAINTENANCE,0,2,inactive
631,18,Roustabout: Lease Maintenance,0,2,active
632,18,Non-Billable: Standby,0,2,active
633,18,Non-Billable: Pre/Post Trip,0,2,active
634,18,Non-Billable: Yard Cleanup,0,2,active
635,18,HAULED SALT WATER TO LOCATION,0,2,inactive
636,18,Pre/Post Trip,0,2,inactive
637,18,PULLED VACCUM ON WELL,95,2,inactive
638,18,PULLED VACCUM ON WELL,85,2,inactive
639,18,Rental - Heat Up Frac Tank,160,2,active
640,18,TRANSFERRED AMMONIA WATER FROM PIT TO FRAC TANK,0,2,inactive
641,18,Trucking - Service Work,0,2,active
642,18,Liquid Hauling: 81-90 Miles,550,1,active
644,18,Oil Base Solids (haul to spread site) 0-3 Miles,5.5,1,active
645,16,EMPTY SUMP,115,2,active
646,18,Water Base Solids (haul to spread site) 4-6 Miles,4.75,1,active
647,18,TRAINING,0,1,inactive
648,18,Oil Base Permit,1,1,active
649,18,HAULED ROCK FROM STEWART STONE,0,2,inactive
650,18,HAULED ROCK,0,2,inactive
651,19,ROCK HAULING,10.5,1,inactive
652,18,Produced Water Hauling - Route 405,1.2,1,active
653,18,Trucking - Rolling Tanks,0,2,active
654,18,Truck Washout,500,1,active
656,18,SKIM OIL FROM PIT PUT IN OIL TANK,0,1,inactive
658,18,Produced Water Gathering and Disposal- Disposal Portion,0.4,1,active
659,18,Produced Water Gathering and Disposal- Transfer Portion,0.43,1,active
660,18,Water Base Permit,1,1,active
661,18,Produced Water Hauling - Route 403,1.2,1,active
662,23,Jet out F/T,0,2,active
663,18,Trucking - Transfer Brine Water,0,2,active
664,18,TRANSFERRED BRINE WATER FROM OLD LOCATION TO NEW LOCATION,105,2,inactive
665,18,Soil Farming - Haul Oil Based Cuttings to Berm,0,1,inactive
666,18,TRANSFERRED FRESH WATER FROM RIG TO RIG,105,2,inactive
667,18,SUCKED UP WATER ON LOCATION AND HAULED TO DISPOSAL,105,2,inactive
668,18,Soil Farming - Footage Job,0,1,active
669,18,PIGGING THE LINE,0,2,inactive
670,18,TRANSPORTED FRESH WATER TO RIG,95,2,inactive
673,18,Non-Billable: Seminole,0,0,inactive
674,18,Rush Permit,250,1,active
675,18,Transfer Rate - Ruthie Pipeline,0.62,1,active
676,18,PULL BOTTOM FROM STOCK TANK,0,2,inactive
677,18,SKIM OIL FROM WATER TANK,0,2,inactive
678,18,MOVE HALF PITS ON LOCATION,0,1,inactive
679,18,130 BBL Vaccum Truck W/ Operator,95,2,active
680,18,Transfer Rate - Mike Stroud Pipeline,0,1,active
681,18,TRANSFERRED BRINE WATER ON LOCATION,105,2,inactive
682,18,Non-Billable: Kingfisher,0,2,inactive
683,18,Soil Farming - Haul Ag Lime to Spread Site,0,1,inactive
684,18,Soil Farming - Spread Water Based Cuttings,0,1,active
685,18,PULL BOTTOM FROM OIL TANK,0,2,inactive
686,5,Berm Crew,0,2,active
687,18,Oil Base Solids (haul to spread site) 4-6 Miles,6,1,active
688,18,MAINTENANCE AT LOCATION,0,2,inactive
689,18,cleaned out separator,0,2,inactive
690,18,Soil Farming - Bobtail Work,0,2,active
691,18,New Location Produced Water Hauling,0.83,1,active
692,18,TRANSFERRED CEMENT RETURNS ON LOCATION,105,2,inactive
693,18,OIL BASE DRILLING MUD,0,1,inactive
696,18,UPFIT,0,2,active
698,18,End Dump Truck w/Operator,110,2,active
699,18,Light Plant Delivery/Return,85,2,inactive
700,18,Produced Water Hauling - Route 401,1.25,1,active
701,18,PICKED UP FRAC TANK WITH WINCH FOR SUCK OUT,0,1,inactive
702,18,SKIM OIL AT ONE LOCATION AN TRANSFER TO NEW LOCATION,0,2,inactive
703,18,Sucked Out SW Tank,0,1,inactive
704,18,PUMP LEASE WATER TO KILL WELL,0,1,inactive
708,18,KILL WELLS,0,1,inactive
709,18,S/W Disposal,0.5,1,active
710,18,HAULED STEEL,0,2,inactive
711,18,Trucking - Bid,0,2,active
712,18,TRANSFER ACID,0,1,inactive
713,18,HAULED WBM FROM MUD PLANT TO LOCATION,0,2,inactive
714,18,Liquid Hauling: 61-70 Miles,480,1,active
715,18,TRANSFER OIL FROM OLD LOCATION TO NEW LOCATION,0,1,inactive
716,18,Transfer Rate - Tyler Pipeline,0,1,active
718,18,STAND BY FOR WELL KILL,0,1,inactive
719,18,Brine/KCL/Completion Fluid Hauling,95,2,active
720,18,Soil Farming - Spread Oil Based Cuttings,0,1,active
721,18,Spill Control,0,2,active
722,19,Bobtail,0,2,active
723,18,Liquid Hauling: 41-50 Miles,400,1,active
724,18,Trucking - Haul Misc Materials,0,2,active
726,18,Trucking - Haul Oil Base Slop,0,2,active
727,18,Trucking - Haul Water Based Slop,0,2,active
728,18,Trucking - Water Based Mud,0,2,active
729,18,Trucking - Flowback Water,0,2,active
730,18,Trucking - Haul Oil Based Cuttings,0,2,inactive
731,18,Trucking - Haul Contaminated Water,0,2,active
732,18,Transport: Cement Returns,0,2,inactive
733,18,Trucking - Haul Rock to Yard,0,2,inactive
734,18,Pulling Unit - Pump Change,0,2,active
735,18,Transport: Fresh Water,0,2,inactive
736,18,Pulling Unit - Fishing Job,0,2,active
737,18,Trucking - Haul Oil Based Mud to Location,0,2,inactive
738,18,Pulling Unit - Swab,0,2,active
739,18,Pulling Unit - Tubing Leak,0,2,active
740,18,Transport: OBM,0,2,inactive
741,18,Transport: WBM,0,2,inactive
742,18,Flat Bottom Frac Tanks,30,1,active
743,18,Half Pits,50,1,active
744,18,Round Bottom Frac Tanks,50,1,active
745,18,Transport: Chemicals,0,2,inactive
746,18,Transport: HCl,0,2,inactive
747,18,Transport: KCl,0,2,inactive
748,18,Transport: Haul Biocide,0,2,inactive
749,18,Transport: Rock,0,2,inactive
750,18,Trucking - Haul Lease Water,0,2,active
751,18,Transport: Frac Sand,0,2,inactive
752,18,Transport: Equipment,0,2,inactive
753,18,Trucking - Haul Equipment,0,2,active
754,18,Solids Hauling: 0-20 Miles,250,1,active
755,18,Solids Hauling: 21-30 Miles,300,1,active
756,18,Service: Pump Truck,0,2,active
758,18,Transport: Tank Bottom Waste,0,2,inactive
759,18,Service: Pull Tank Bottoms,0,2,inactive
760,18,Solids Hauling: 31-40 Miles,350,1,active
762,23,W/T,105,2,active
763,18,Trucking - Pick-up Frac Tank,0,2,active
764,18,Trucking - Haul Waste Water,0,2,active
765,18,Transport: Skim Oil,0,2,inactive
766,18,Trucking - Haul Hot Oil,0,2,active
768,18,Trucking - Deliver Frac Tank,0,2,active
769,18,Transport: Frac Tank,0,2,inactive
770,18,Non-Billable: Truck/Trailer R&M,0,2,active
771,18,Trucking - Pick-up Half Pit,0,2,active
772,18,Trucking - Deliver Half Pit,0,2,active
773,18,Transport: Half Pit,0,2,inactive
774,18,Trucking - Pick-up Round Bottom Frac Tank,0,2,active
775,18,Trucking - Deliver Round Bottom Frac Tank,0,2,active
776,18,Transport: Round Bottom Frac Tank,0,2,inactive
777,18,Transport: Screening,0,2,inactive
778,18,Transport: Mat Board,0,2,inactive
779,18,Pulling Unit - Rig Up/Down,0,2,active
780,18,Trucking - Pick-up Pump,0,2,active
781,18,Trucking - Deliver Pump,0,2,active
782,18,Transport: Pump,0,2,inactive
783,18,Service: Transferred Oil (On Location),0,2,inactive
784,18,Trucking - Transfer Oil,0,2,active
785,18,Service: Transferred OBM (On Location),0,2,inactive
786,18,Trucking - Transfer Oil Based Mud,0,2,active
787,18,Service: Transferred WBM (On Location),0,2,inactive
788,18,Trucking - Transfer Water Based Mud,0,2,active
789,18,Service: Transferred Flowback Water on Location,0,2,inactive
790,18,Trucking - Transfer Flowback Water,0,2,active
791,18,Pulling Unit - Recompletion,0,2,active
792,18,Transport: Lime,0,2,inactive
793,18,Roustabout: Pigging the Line,0,2,active
794,18,Service: Standby at Location,0,2,inactive
795,18,Trucking - Misc Labor,0,2,active
796,18,Service: Washout,0,2,inactive
797,18,LOADER/FORKLIFT,0,2,inactive
798,18,Trucking - Loader/Forklift,0,2,active
799,18,Solids Hauling: 61-70 Miles,480,1,active
800,18,Solids Hauling: 41-50 Miles,400,1,active
803,16,CLEANED OUT SAND TRAP,0,1,active
805,18,Trucking - Oil,0,2,active
806,18,Transport: WBM Solids,0,2,inactive
807,18,Transport: Dirt,0,2,inactive
808,18,Trucking - Salt Water,0,2,active
809,18,Liquid Hauling: 51-60 Miles,450,1,active
810,18,Trucking - Haul Fresh Water,0,2,active
811,18,Trucking - Transfer Salt Water,0,2,active
812,18,Pulling Unit - General Service,0,2,active
813,16,HAULED KCL WATER TO LOCATION,0,1,active
814,18,Disposal: OBM,0,2,inactive
815,18,Disposal: OBM,0,2,inactive
816,18,Disposal: OBM,0,2,inactive
817,18,Trucking - Haul Oil Based Mud,0,2,active
818,18,Trucking - Haul Biocide,0,2,active
819,18,Trucking - Haul Brine Water,0,2,active
820,18,Trucking - Haul Chemicals,0,2,active
821,18,Trucking - Haul Dirt,0,2,active
822,18,Pulling Unit - ESP Pump Change,0,2,active
823,18,Trucking - Haul Frac Sand,0,2,active
824,18,Trucking - Transfer Frac Tank,0,2,active
825,18,Trucking - Transfer Contaminated Water,0,2,active
826,18,Trucking - Transfer Half Pit,0,2,active
827,18,Trucking - Haul HCL,0,2,active
828,18,Trucking - Haul KCL,0,2,active
829,18,Trucking - Haul Lime,0,2,active
830,18,Trucking - Haul Mat Board,0,2,active
831,18,Pulling Unit - Standby,0,2,active
832,18,Pulling Unit - Workover,0,2,active
833,18,Trucking - Transfer Pump,0,2,active
834,18,Trucking - Haul Rock,0,2,active
835,18,Trucking - Transfer Round Bottom Frac Tank,0,2,active
836,18,Pulling Unit - Yard,0,2,active
837,18,Trucking - Haul Screening,0,2,active
838,18,Trucking - Haul Water Based Mud to Location,0,2,inactive
839,18,Trucking - Haul Cement Returns,0,2,active
840,18,Trucking - Haul Contaminated Water,0,2,inactive
841,18,Trucking - Haul Flowback Water,0,2,active
842,18,Trucking - Haul Oil Based Slop,0,2,active
843,18,Trucking - Haul Tank Bottoms,0,2,active
844,18,Trucking - Haul Water Based Mud,0,2,active
845,18,Trucking - Haul Water Based Cuttings,0,2,inactive
846,18,Solids Hauling: 51-60 Miles,450,1,active
847,18,Non-Billiable: Chickasha,0,0,inactive
848,18,Roustabout: New Lease Construction,0,2,active
849,18,Service: Spill Control,0,2,inactive
850,18,Service: Swamper,0,2,inactive
851,18,Trucking - Transfer Skim Oil,0,2,active
852,16,CLEAN OUT SEPARATOR,0,2,active
855,16,LOAD TUBING,0,1,active
860,16,FRESH WATER SALES,0.65,1,active
861,18,Liquid Hauling: 31-40 Miles,350,1,active
862,18,Non-Billable: Auction Related Work,0,2,active
866,16,HAULED CEMENT RETURNS,0,1,active
872,18,No Charge: El Reno,0,2,inactive
873,18,No Charge: Canute,0,2,inactive
874,18,No Charge: Chickasha,0,2,inactive
875,18,No Charge: Hennessey,0,2,inactive
876,18,No Charge: Lindsay,0,2,inactive
877,18,No Charge: Watonga,0,2,inactive
878,18,No Charge: Woodward,0,2,inactive
879,18,Non-Billable: Lindsay,0,2,inactive
880,18,Non-Billable: Incorrect Dispatch Info,0,2,active
881,15,Freshwater haul,105,2,active
882,18,Transport: Hot Oil,0,1,inactive
892,18,Transport: Brine Water,0,1,inactive
893,18,Transport: Oil Based Cuttings,0,1,inactive
894,16,Returned ABO,0,1,active
900,4,Water Hauling,1.4,1,active
901,4,Flowback,1.4,1,active
902,4,Pull Bottoms,110,2,inactive
903,4,Empty Containment,110,2,inactive
904,4,Heat Tanks,110,2,inactive
905,4,Fresh Water Delivery,110,2,inactive
906,4,KCL Delivery,110,2,inactive
907,4,Mud Delivery,110,2,inactive
908,4,Pump Water Down Casing,110,2,inactive
909,20,Acid,0,2,active
910,28,Water Hauling,0,2,active
911,28,Flowback,0,2,active
