invoice_id,hs_customer,invoice_total,invoice_time,ticket_id,job_type,ticket_date,Ticket_Item_Type,details
270138,39,584.5,1556600400,1555676,Water Hauling,1556653477,bill_bbls,130
270138,39,584.5,1556600400,1542518,Water Hauling,1556199408,price_per_bbl,1
270138,39,584.5,1556600400,1555676,Water Hauling,1556653477,price_per_bbl,1.15
270138,39,584.5,1556600400,1542512,Water Hauling,1556199122,bill_type,1
270138,39,584.5,1556600400,1555676,Water Hauling,1556653477,truck,3325
270138,39,584.5,1556600400,1555676,Water Hauling,1556653477,bill_hours,4
270138,39,584.5,1556600400,1542512,Water Hauling,1556199122,price_per_bbl,1
270138,39,584.5,1556600400,1542518,Water Hauling,1556199408,truck,3335
270138,39,584.5,1556600400,1542518,Water Hauling,1556199408,bill_bbls,130
270138,39,584.5,1556600400,1542512,Water Hauling,1556199122,bill_hours,1.5
270138,39,584.5,1556600400,1537004,Water Hauling,1556049547,truck,3334
270138,39,584.5,1556600400,1537004,Water Hauling,1556049547,price_per_bbl,65
270138,39,584.5,1556600400,1542518,Water Hauling,1556199408,price_per_hour,1
270138,39,584.5,1556600400,1555676,Water Hauling,1556653477,price_per_hour,1.15
270138,39,584.5,1556600400,1555676,Water Hauling,1556653477,bill_type,1
270138,39,584.5,1556600400,1542512,Water Hauling,1556199122,bill_bbls,130
270138,39,584.5,1556600400,1537004,Water Hauling,1556049547,bill_hours,2
270138,39,584.5,1556600400,1537004,Water Hauling,1556049547,bill_bbls,60
270138,39,584.5,1556600400,1542518,Water Hauling,1556199408,bill_type,1
270138,39,584.5,1556600400,1542512,Water Hauling,1556199122,price_per_hour,1
270138,39,584.5,1556600400,1542518,Water Hauling,1556199408,bill_hours,3
270138,39,584.5,1556600400,1537004,Water Hauling,1556049547,price_per_hour,65
270138,39,584.5,1556600400,1537004,Water Hauling,1556049547,bill_type,2
270138,39,584.5,1556600400,1542512,Water Hauling,1556199122,truck,3334
270137,39,130,1556600400,1542532,Water Hauling,1556199932,bill_bbls,130
270137,39,130,1556600400,1542532,Water Hauling,1556199932,price_per_hour,1
270137,39,130,1556600400,1542532,Water Hauling,1556199932,bill_type,1
270137,39,130,1556600400,1542532,Water Hauling,1556199932,bill_hours,2.25
270137,39,130,1556600400,1542532,Water Hauling,1556199932,price_per_bbl,1
270137,39,130,1556600400,1542532,Water Hauling,1556199932,truck,3334
270136,39,390,1556600400,1542605,Water Hauling,1556202166,price_per_hour,1
270136,39,390,1556600400,1542514,Water Hauling,1556199313,price_per_bbl,1
270136,39,390,1556600400,1542522,Water Hauling,1556199584,bill_bbls,130
270136,39,390,1556600400,1542514,Water Hauling,1556199313,truck,3328
270136,39,390,1556600400,1542522,Water Hauling,1556199584,truck,3333
270136,39,390,1556600400,1542605,Water Hauling,1556202166,bill_type,1
270136,39,390,1556600400,1542522,Water Hauling,1556199584,price_per_hour,1
270136,39,390,1556600400,1542514,Water Hauling,1556199313,bill_bbls,130
